ax,ay,bx,by
622,148,608,192
937,344,891,339
1093,289,1121,252
1240,409,1218,377
1187,491,1201,534
1124,452,1094,424
1121,546,1156,571
1090,677,1099,723
895,890,871,924
849,723,812,750
1126,1074,1174,1067
853,1243,818,1269
779,1141,800,1107
784,1316,743,1298
1061,1484,1099,1508
254,381,214,404
680,694,668,652
761,513,732,547
463,1357,494,1389
388,1555,432,1538
65,1286,102,1312
359,1375,393,1345
166,1048,153,1008
463,1128,490,1161
357,826,333,790
710,1138,667,1138
355,989,314,982
